document_id,irs_description,item,qtd,price,data,dia,mes,ano,hora
1690472938955678638,"Grocery Stores, Supermarkets",Maçã,7,8.4,2022-11-28 11:51:16.776456,28,11,2022,11
9202060645083883366,"Grocery Stores, Supermarkets",Arroz,4,84.0,2022-02-25 02:25:32.384556,25,2,2022,2
9202060645083883366,"Grocery Stores, Supermarkets",Leite,5,21.400000000000002,2023-09-10 18:30:27.48902,10,9,2023,18
9202060645083883366,"Grocery Stores, Supermarkets",Pão,5,3.0,2022-06-02 06:52:19.409245,2,6,2022,6
7523807556076637323,"Grocery Stores, Supermarkets",Pão,3,1.7999999999999998,2022-11-17 07:00:53.22576,17,11,2022,7
1690472938955678638,"Grocery Stores, Supermarkets",Arroz,4,84.0,2023-12-03 15:51:21.357165,3,12,2023,15
9202060645083883366,"Grocery Stores, Supermarkets",Maçã,9,10.799999999999999,2022-08-20 10:07:27.727054,20,8,2022,10
1690472938955678638,"Grocery Stores, Supermarkets",Pão,4,2.4,2023-11-07 01:55:30.832171,7,11,2023,1
5695527918944804612,"Grocery Stores, Supermarkets",Maçã,1,1.2,2023-08-12 08:52:53.618901,12,8,2023,8
4574000117844462501,"Grocery Stores, Supermarkets",Café,2,31.4,2023-09-10 11:33:10.823835,10,9,2023,11
9202060645083883366,"Grocery Stores, Supermarkets",Leite,11,47.080000000000005,2022-08-09 11:59:12.926211,9,8,2022,11
4574000117844462501,"Grocery Stores, Supermarkets",Arroz,4,84.0,2022-03-05 23:01:23.687537,5,3,2022,23
4574000117844462501,"Grocery Stores, Supermarkets",Pão,4,2.4,2023-03-10 20:39:27.664773,10,3,2023,20
7523807556076637323,"Grocery Stores, Supermarkets",Café,11,172.7,2022-01-13 07:02:36.219918,13,1,2022,7
7523807556076637323,"Grocery Stores, Supermarkets",Arroz,7,147.0,2022-03-24 00:34:46.031247,24,3,2022,0
5564683868409713852,"Grocery Stores, Supermarkets",Pão,11,6.6,2023-02-23 12:43:55.952142,23,2,2023,12
9202060645083883366,"Grocery Stores, Supermarkets",Café,1,15.7,2022-06-29 04:46:42.230344,29,6,2022,4
1690472938955678638,"Grocery Stores, Supermarkets",Pão,3,1.7999999999999998,2023-08-05 06:07:57.241461,5,8,2023,6
4574000117844462501,"Grocery Stores, Supermarkets",Leite,3,12.84,2023-03-21 02:32:17.617317,21,3,2023,2
1690472938955678638,"Grocery Stores, Supermarkets",Maçã,1,1.2,2022-01-27 05:04:58.789501,27,1,2022,5
7523807556076637323,"Grocery Stores, Supermarkets",Pão,3,1.7999999999999998,2023-04-12 11:06:17.985089,12,4,2023,11
4574000117844462501,"Grocery Stores, Supermarkets",Maçã,10,12.0,2022-07-13 06:45:11.567321,13,7,2022,6
4574000117844462501,"Grocery Stores, Supermarkets",Banana,11,8.8,2023-08-10 11:33:58.281489,10,8,2023,11
7523807556076637323,"Grocery Stores, Supermarkets",Arroz,1,21.0,2022-07-27 11:39:11.403961,27,7,2022,11
4574000117844462501,"Grocery Stores, Supermarkets",Leite,3,12.84,2022-11-18 20:06:45.015496,18,11,2022,20
4574000117844462501,"Grocery Stores, Supermarkets",Maçã,2,2.4,2023-07-22 17:59:50.32799,22,7,2023,17
1690472938955678638,"Grocery Stores, Supermarkets",Sabonete,5,16.0,2023-08-21 18:09:23.215351,21,8,2023,18
1690472938955678638,"Grocery Stores, Supermarkets",Arroz,11,231.0,2023-01-25 08:28:00.708059,25,1,2023,8
9202060645083883366,"Grocery Stores, Supermarkets",Café,9,141.29999999999998,2022-05-31 11:16:53.905396,31,5,2022,11
7523807556076637323,"Grocery Stores, Supermarkets",Sabonete,5,16.0,2022-03-05 20:51:38.392279,5,3,2022,20
5564683868409713852,"Grocery Stores, Supermarkets",Arroz,4,84.0,2023-07-29 19:44:15.479311,29,7,2023,19
4574000117844462501,"Grocery Stores, Supermarkets",Café,1,15.7,2023-06-26 19:11:06.965467,26,6,2023,19
4574000117844462501,"Grocery Stores, Supermarkets",Café,3,47.099999999999994,2022-05-26 04:56:40.814969,26,5,2022,4
